"レンダリングするフレームを指定します\n各フレームを飛び飛びに指定できます\n'-'や'..'を利用して、フレーム範囲を指定することができます\n例 : 3,10,15,50-70,450..800","Specifies the frame to render\nYou can specify each frame as discrete\nYou can specify the frame range using ' - ' or ' .. '\nExample : 3,10,15,50-70,450..800"
"相対パスをサポートしていません！！","Don't support relative path!!"
"シーン名","Scene Name"
"非表示データ","Hide Data"
"非表示データ名","Hide Data Name"
"高度な設定","Advanced Settings"
"レンダリング終了","End of Rendering"
"レンダリング中断","Stop Rendering"
"現在のシーンの設定を元にタスクを作成します","Add a task item based on the settings of the current scene"
"'現在のBlendファイル'のレンダリングでは、進捗表示を利用できません","Progress view is not available for 'current Blend file' rendering"
"設定をロード","Load Settings"
"ノーマルマップ(擬似的)","Normal Map (Fake)"
"保存する画像ファイルを上書き保存します。\nオフの場合、出力フォルダ内の同名のファイルの数だけ末尾に数字3桁を付けて上書き保存しないようにします","Save The image file is overwritten and saved. \ nIf off, add 3 digits to the end for the number of files with the same name in the output folder to prevent overwriting"
"重複ファイル名に対して番号を付ける","Add numbers for duplicate filenames"
"出力フォルダ内の同名のファイルの数だけ末尾に数字3桁を付けて、上書き保存しないようにします","Add 3 digits to the end of the number of files with the same name in the output folder to prevent overwriting"
"Matcapを利用してノーマルマップを書き出します。\nテクスチャはサポートしていません。試験的であり、いくつかのオプションとは共存できない場合があります","Export a normal map using Matcap.\nTextures are not supported. It is experimental and may not coexist with some options"
"出力ファイル名が重複するようなオプションが有効な時、出力パスにデータ名を追加します。\nシーン・ビューレイヤー・カメラ・マテリアルオーバーライドなどのオプションが有効な場合に動作します","Add the data name to the output path when the option to duplicate the output file name is enabled.\nWorks when the Scene / View Layer / Camera / Material Override option is enabled"
"データ名を自動追加","Auto Add Data Name"
"レンダーレイヤーノードのシーンとビューレイヤーを、各アイテムのシーンとビューレイヤー設定に変更します。\n「すべてのレンダーレイヤーノード」が変更されるため、複数のレンダーレイヤーノードを合成したい場合は適していません","Change the scene and view layer of the render layer node to the scene and view layer settings for each item.\nNot suitable if you want to combine multiple render layer nodes, as 'all render layer nodes' will change"
"レンダーレイヤーノードをアイテムと同じ設定に変更する","Change the render layer node to the same settings as the item"
"",""
"",""
"",""
